stemmer,word,idf
paiceHusk,spider,4.896298
paiceHusk,bites,4.245865
paiceHusk,history,2.087658
paiceHusk,orcas,8.573414
paiceHusk,tooth,5.734457
paiceHusk,abscess,8.096953
paiceHusk,barrett,6.187217
paiceHusk,esophagus,7.814708
paiceHusk,teddy,5.825105
paiceHusk,bears,3.550952
paiceHusk,patron,5.159919
paiceHusk,saint,3.841510
paiceHusk,mental,2.629585
paiceHusk,illness,3.306729
paiceHusk,holes,4.246558
paiceHusk,by,0.390545
paiceHusk,louis,3.985332
paiceHusk,sachar,6.097416
paiceHusk,hip,4.158331
paiceHusk,roof,4.519296
paiceHusk,carpenter,5.380168
paiceHusk,bee,5.101567
paiceHusk,american,1.361158
paiceHusk,revolutionary,3.986693
paiceHusk,folk,3.771070
paiceHusk,remedies,4.841124
paiceHusk,sore,5.476555
paiceHusk,balding,6.052577
paiceHusk,cure,4.785943
paiceHusk,evidence,3.375060
paiceHusk,evolution,3.760221
paiceHusk,tribe,4.875036
paiceHusk,formerly,1.722659
paiceHusk,living,2.686278
paiceHusk,alabama,3.985120
paiceHusk,f5,Q:tornado
paiceHusk,heart,2.251084
paiceHusk,attack,3.530327
paiceHusk,feliz,7.385591
paiceHusk,navidad,8.594322
paiceHusk,running,3.114034
paiceHusk,marshall,4.527904
paiceHusk,county,3.147457
paiceHusk,schools,2.115388
paiceHusk,sun,2.787683
paiceHusk,tzu,7.373639
paiceHusk,halloween,4.507986
paiceHusk,school,2.115388
paiceHusk,dreams,3.031330
paiceHusk,interpretation,4.373741
paiceHusk,wilson,4.588930
paiceHusk,instruction,3.241676
paiceHusk,cole,5.198964
paiceHusk,how,1.377910
paiceHusk,has,1.305001
paiceHusk,african,3.935068
paiceHusk,music,2.100960
paiceHusk,influence,3.892878
paiceHusk,bewitched,7.970403
paiceHusk,cast,3.861879
paiceHusk,mister,5.050440
paiceHusk,rogers,4.510238
paiceHusk,game,2.103288
paiceHusk,theory,4.056296
paiceHusk,view,1.088433
paiceHusk,my,1.132170
paiceHusk,internet,2.332998
paiceHusk,ketogenic,9.931333
paiceHusk,diet,3.964795
paiceHusk,nasa,5.546448
paiceHusk,interplanetary,9.025048
paiceHusk,missions,3.178786
paiceHusk,hayrides,9.170814
paiceHusk,pa,3.936034
paiceHusk,where,1.809087
paiceHusk,to,0.253763
paiceHusk,find,1.103991
paiceHusk,morel,7.839818
paiceHusk,mushrooms,5.513938
paiceHusk,magnesium,6.596742
paiceHusk,rich,3.612379
paiceHusk,foods,2.346038
paiceHusk,common,2.786797
paiceHusk,schizophrenia,7.006344
paiceHusk,drugs,3.410273
paiceHusk,carotid,8.797249
paiceHusk,cavernous,7.073042
paiceHusk,fistula,8.889247
paiceHusk,fidel,6.279253
paiceHusk,castro,6.454889
paiceHusk,yoga,4.924379
paiceHusk,norway,4.397493
paiceHusk,spruce,6.620360
paiceHusk,sangre,7.724596
paiceHusk,de,2.686828
paiceHusk,cristo,7.967884
paiceHusk,mountains,3.496315
paiceHusk,electronic,3.112607
paiceHusk,medical,2.791023
paiceHusk,record,2.614783
paiceHusk,educational,2.048446
paiceHusk,advantages,1.580817
paiceHusk,social,2.384715
paiceHusk,networking,2.342025
paiceHusk,sites,0.976967
paiceHusk,flowering,2.944099
paiceHusk,plants,3.298148
paiceHusk,tie,4.847971
paiceHusk,windsor,3.529450
paiceHusk,knot,5.580133
paiceHusk,recycling,4.503036
paiceHusk,lead,2.026477
paiceHusk,acid,4.627949
paiceHusk,batteries,3.890426
paiceHusk,altitude,6.272664
paiceHusk,sickness,4.249315
paiceHusk,care,1.564424
paiceHusk,jehovah,7.755667
paiceHusk,witnesses,4.211485
paiceHusk,pink,3.835947
paiceHusk,slime,5.011689
paiceHusk,ground,3.331754
paiceHusk,mean,2.379764
krovetz,raspberry,6.213448
krovetz,pi,5.616280
krovetz,uss,6.985721
krovetz,carl,5.118229
krovetz,vinson,8.426592
krovetz,reviews,2.031717
krovetz,of,0.250701
krovetz,les,3.698284
krovetz,miserables,6.023796
krovetz,rules,2.547701
krovetz,golf,3.649634
krovetz,average,3.582533
krovetz,charitable,5.479461
krovetz,donation,3.232363
krovetz,wind,3.678552
krovetz,power,1.555087
krovetz,bph,8.439768
krovetz,treatment,2.990766
krovetz,doctor,3.549766
krovetz,zhivago,9.886171
krovetz,land,3.018334
krovetz,surveyor,6.597636
krovetz,gps,4.799868
krovetz,what,1.194585
krovetz,is,0.534960
krovetz,madagascar,5.092630
krovetz,known,2.920670
krovetz,for,0.343439
krovetz,home,0.609966
krovetz,theater,4.233867
krovetz,systems,2.011881
krovetz,carpal,7.819998
krovetz,tunnel,5.390902
krovetz,syndrome,5.255935
krovetz,capital,3.648354
krovetz,gains,3.597669
krovetz,tax,3.143410
krovetz,rate,2.142804
krovetz,maryland,3.891189
krovetz,department,2.932319
krovetz,natural,2.970800
krovetz,resources,1.737869
krovetz,nicolas,5.957486
krovetz,cage,4.994249
krovetz,movies,2.666130
krovetz,kids,2.700553
krovetz,earth,3.426458
krovetz,day,1.062912
krovetz,activities,2.608890
krovetz,solar,4.544770
krovetz,water,2.632164
krovetz,fountains,5.282788
krovetz,was,1.397563
krovetz,the,0.226549
krovetz,name,1.450468
krovetz,elvis,6.157863
krovetz,presley,7.030791
krovetz,s,0.448648
krovetz,nba,5.060208
krovetz,records,2.687453
krovetz,electoral,6.477742
krovetz,college,2.846247
krovetz,results,2.188817
krovetz,2008,1.988047
krovetz,male,3.742570
krovetz,menopause,6.373507
krovetz,usda,6.271905
krovetz,food,2.346265
krovetz,pyramid,5.802043
krovetz,making,1.254716
krovetz,chicken,4.409979
krovetz,soup,4.829157
krovetz,from,0.696080
krovetz,scratch,4.810936
krovetz,black,2.507212
krovetz,and,0.267391
krovetz,gold,3.228102
krovetz,traverse,6.233937
krovetz,city,2.051191
krovetz,i,0.867824
krovetz,will,1.089197
krovetz,survive,4.398978
krovetz,lyrics,4.574363
krovetz,hawaiian,3.815757
krovetz,volcano,6.124316
krovetz,observatories,6.427036
krovetz,beef,5.176744
krovetz,stroganoff,9.255256
krovetz,recipe,3.675016
krovetz,world,1.534851
krovetz,biggest,4.074908
krovetz,dog,3.201436
krovetz,are,0.706319
krovetz,seven,3.753097
krovetz,deadly,3.326735
krovetz,sins,4.720183
krovetz,hurricane,5.160122
krovetz,irene,6.308538
krovetz,flooding,4.717486
krovetz,in,0.265225
krovetz,manville,9.164504
krovetz,nj,4.528912
krovetz,hair,3.386292
krovetz,dye,5.770914
krovetz,dark,3.161322
krovetz,chocolate,4.172966
krovetz,health,2.163515
krovetz,benefits,2.736501
krovetz,ham,5.560726
krovetz,radio,3.188397
krovetz,symptoms,4.719753
krovetz,mad,3.198545
krovetz,cow,5.147438
krovetz,disease,3.777785
krovetz,humans,2.755421
krovetz,lump,6.204723
krovetz,throat,5.346666
krovetz,george,3.666684
krovetz,bush,4.486998
krovetz,sr,4.818997
krovetz,bio,4.147237
krovetz,frank,4.180499
krovetz,lloyd,5.555123
krovetz,wright,5.104664
krovetz,biography,4.412296
krovetz,presidential,5.038015
krovetz,middle,3.233643
krovetz,names,1.450468
krovetz,a,0.251930
krovetz,wiki,4.224373
krovetz,cannellini,10.024773
krovetz,beans,4.790163
krovetz,afghanistan,4.470990
krovetz,flag,4.077309
krovetz,old,2.115686
krovetz,town,3.172962
krovetz,scottsdale,6.198959
krovetz,roosevelt,6.198921
krovetz,island,2.922269
krovetz,civil,3.752077
krovetz,war,3.101820
krovetz,battles,3.760821
krovetz,south,2.495546
krovetz,carolina,3.589444
krovetz,rain,3.817212
krovetz,man,2.618807
krovetz,eggs,4.331907
krovetz,shelf,5.192880
krovetz,life,1.811844
krovetz,occupational,4.629660
krovetz,therapist,5.555839
krovetz,ford,4.490023
krovetz,edge,3.660250
krovetz,problems,2.494484
krovetz,identifying,3.457445
krovetz,spider,4.910060
krovetz,bites,4.172426
krovetz,history,2.234743
krovetz,orcas,7.345706
krovetz,tooth,5.735272
krovetz,abscess,8.102822
krovetz,barrett,6.342408
krovetz,esophagus,7.815812
krovetz,teddy,5.837121
krovetz,bears,3.559653
krovetz,patron,5.303308
krovetz,saint,3.852895
krovetz,mental,4.006399
krovetz,illness,4.151492
krovetz,holes,4.216552
krovetz,by,0.390542
krovetz,louis,4.174199
krovetz,sachar,10.155871
krovetz,hip,4.064328
krovetz,roof,4.520656
krovetz,carpenter,5.923153
krovetz,bee,4.816492
krovetz,american,2.106164
krovetz,revolutionary,5.446696
krovetz,folk,3.773482
krovetz,remedies,4.968059
krovetz,sore,5.475357
krovetz,balding,6.168153
krovetz,cure,4.625319
krovetz,evidence,3.474658
krovetz,evolution,4.586139
krovetz,tribe,5.497756
krovetz,formerly,3.560870
krovetz,living,1.740039
krovetz,alabama,3.985732
krovetz,f5,Q:tornado
krovetz,heart,2.254843
krovetz,attack,3.530597
krovetz,feliz,7.412718
krovetz,navidad,8.613328
krovetz,running,2.347845
krovetz,marshall,4.538834
krovetz,county,3.147494
krovetz,schools,2.115547
krovetz,sun,2.768173
krovetz,tzu,7.353146
krovetz,halloween,4.508318
krovetz,school,2.115547
krovetz,dreams,3.033065
krovetz,interpretation,5.092368
krovetz,wilson,4.591389
krovetz,instruction,3.528891
krovetz,cole,5.304234
krovetz,how,1.377091
krovetz,has,1.305000
krovetz,african,3.199912
krovetz,music,2.127932
krovetz,influence,4.014778
krovetz,bewitched,7.981335
krovetz,cast,3.981212
krovetz,mister,6.338115
krovetz,rogers,5.414091
krovetz,game,2.050698
krovetz,theory,4.058084
krovetz,view,1.088608
krovetz,my,1.131792
krovetz,internet,2.333691
krovetz,ketogenic,9.934524
krovetz,diet,4.059036
krovetz,nasa,5.557609
krovetz,interplanetary,9.044873
krovetz,missions,3.206555
krovetz,hayrides,9.173237
krovetz,pa,3.931398
krovetz,where,1.809876
krovetz,to,0.253752
krovetz,find,1.104699
krovetz,morel,8.522106
krovetz,mushrooms,5.515987
krovetz,magnesium,6.632256
krovetz,rich,3.621024
krovetz,foods,2.346265
krovetz,common,2.791468
krovetz,schizophrenia,7.006195
krovetz,drugs,3.414387
krovetz,carotid,8.818355
krovetz,cavernous,8.867295
krovetz,fistula,8.788448
krovetz,fidel,7.911424
krovetz,castro,6.455123
krovetz,yoga,4.924688
krovetz,norway,4.097134
krovetz,spruce,6.625034
krovetz,sangre,8.622322
krovetz,de,2.617992
krovetz,cristo,7.973377
krovetz,mountains,3.528345
krovetz,electronic,3.142312
krovetz,medical,2.924159
krovetz,record,2.687453
krovetz,educational,3.671230
krovetz,advantages,3.609511
krovetz,social,2.396363
krovetz,networking,2.342090
krovetz,sites,0.976458
krovetz,flowering,3.372114
krovetz,plants,3.359212
krovetz,tie,4.042117
krovetz,windsor,5.476314
krovetz,knot,5.691345
krovetz,recycling,4.504665
krovetz,lead,2.267988
krovetz,acid,4.684757
krovetz,batteries,3.894131
krovetz,altitude,6.274277
krovetz,sickness,4.299918
krovetz,care,2.271539
krovetz,jehovah,7.756346
krovetz,witnesses,4.211649
krovetz,pink,3.843511
krovetz,slime,7.151577
krovetz,ground,3.332020
krovetz,mean,2.410869
sStripping,raspberry,6.213515
sStripping,pi,5.582595
sStripping,uss,3.597369
sStripping,carl,5.167438
sStripping,vinson,8.426592
sStripping,reviews,2.081104
sStripping,of,0.250701
sStripping,les,2.031039
sStripping,miserables,8.134277
sStripping,rules,2.809903
sStripping,golf,3.687133
sStripping,average,3.642867
sStripping,charitable,5.490759
sStripping,donation,4.053623
sStripping,wind,3.762180
sStripping,power,2.497380
sStripping,bph,8.439678
sStripping,treatment,3.521647
sStripping,doctor,3.553911
sStripping,zhivago,9.885791
sStripping,land,3.189894
sStripping,surveyor,6.597650
sStripping,gps,4.421434
sStripping,what,1.194595
sStripping,is,0.867824
sStripping,madagascar,5.095070
sStripping,known,2.920951
sStripping,for,0.343441
sStripping,home,0.616560
sStripping,theater,4.233861
sStripping,systems,2.011987
sStripping,carpal,7.819998
sStripping,tunnel,5.451253
sStripping,syndrome,5.293188
sStripping,capital,3.788207
sStripping,gains,3.903142
sStripping,tax,3.155047
sStripping,rate,3.108476
sStripping,maryland,3.891189
sStripping,department,2.940745
sStripping,natural,3.083075
sStripping,resources,1.859092
sStripping,nicolas,5.956184
sStripping,cage,5.562056
sStripping,movies,3.191957
sStripping,kids,2.730624
sStripping,earth,3.441225
sStripping,day,1.232849
sStripping,activities,2.608903
sStripping,solar,4.548619
sStripping,water,2.649058
sStripping,fountains,5.283421
sStripping,was,1.360909
sStripping,the,0.227034
sStripping,name,1.568338
sStripping,elvis,6.157863
sStripping,presley,7.030835
sStripping,s,Q:witnesses
sStripping,nba,5.060156
sStripping,records,2.934937
sStripping,electoral,6.483389
sStripping,college,2.926886
sStripping,results,2.244296
sStripping,2008,1.988047
sStripping,male,3.814182
sStripping,menopause,6.472027
sStripping,usda,6.271905
sStripping,food,2.346393
sStripping,pyramid,5.805516
sStripping,making,2.452494
sStripping,chicken,4.412895
sStripping,soup,4.845186
sStripping,from,0.696166
sStripping,scratch,5.056835
sStripping,black,2.511514
sStripping,and,0.267535
sStripping,gold,3.234750
sStripping,traverse,6.530534
sStripping,city,2.051329
sStripping,i,0.867824
sStripping,will,1.095486
sStripping,survive,4.953490
sStripping,lyrics,4.640788
sStripping,hawaiian,5.916404
sStripping,volcano,6.124387
sStripping,observatories,6.427036
sStripping,beef,5.210508
sStripping,stroganoff,9.255256
sStripping,recipe,4.426455
sStripping,world,1.535810
sStripping,dog,3.206343
sStripping,are,0.707181
sStripping,seven,3.753401
sStripping,deadly,5.004914
sStripping,sins,4.824459
sStripping,hurricane,5.437177
sStripping,irene,6.308687
sStripping,flooding,6.277004
sStripping,in,0.264828
sStripping,manville,9.164689
sStripping,nj,4.526362
sStripping,hair,3.409703
sStripping,dye,6.090473
sStripping,dark,3.325154
sStripping,chocolate,4.266273
sStripping,health,2.163600
sStripping,benefits,2.759652
sStripping,ham,5.644782
sStripping,radio,3.189030
sStripping,symptoms,4.719894
sStripping,mad,3.343667
sStripping,cow,5.165079
sStripping,disease,4.027694
sStripping,humans,2.804956
sStripping,lump,6.335456
sStripping,throat,5.383886
sStripping,george,3.702794
sStripping,bush,4.540700
sStripping,sr,4.749406
sStripping,bio,4.147541
sStripping,frank,4.353498
sStripping,lloyd,5.555128
sStripping,wright,5.108639
sStripping,biography,4.485693
sStripping,presidential,5.039817
sStripping,middle,3.236796
sStripping,names,3.325466
sStripping,a,0.251930
sStripping,wiki,4.224837
sStripping,cannellini,10.024773
sStripping,beans,4.794942
sStripping,afghanistan,4.600023
sStripping,flag,4.133093
sStripping,old,2.320904
sStripping,town,3.175163
sStripping,scottsdale,6.198968
sStripping,roosevelt,6.198921
sStripping,island,2.949519
sStripping,civil,3.769811
sStripping,war,3.092052
sStripping,battles,5.732183
sStripping,south,2.496133
sStripping,carolina,3.589444
sStripping,rain,3.897332
sStripping,man,2.655487
sStripping,eggs,4.353209
sStripping,shelf,5.193550
sStripping,life,1.813808
sStripping,occupational,5.499781
sStripping,therapist,5.555849
sStripping,ford,4.494279
sStripping,edge,3.816671
sStripping,problems,2.494536
sStripping,identifying,5.298210
sStripping,spider,4.916953
sStripping,bites,2.846236
sStripping,history,2.234778
sStripping,orcas,7.345706
sStripping,tooth,5.796526
sStripping,abscess,8.385271
sStripping,barrett,6.272798
sStripping,teddy,5.837141
sStripping,bears,3.783468
sStripping,patron,5.387839
sStripping,saint,3.858056
sStripping,mental,4.211227
sStripping,illness,4.997183
sStripping,holes,5.191762
sStripping,by,0.390518
sStripping,louis,4.172793
sStripping,sachar,10.156370
sStripping,hip,4.073639
sStripping,roof,4.709031
sStripping,carpenter,5.925137
sStripping,bee,5.101424
sStripping,american,2.498990
sStripping,revolutionary,5.447037
sStripping,folk,3.775382
sStripping,remedies,4.997676
sStripping,sore,5.931384
sStripping,balding,8.494183
sStripping,cure,4.915565
sStripping,evidence,3.498934
sStripping,evolution,4.589454
sStripping,tribe,5.925971
sStripping,formerly,5.194886
sStripping,living,2.686539
sStripping,alabama,3.985732
sStripping,f5,Q:tornado
sStripping,heart,2.263767
sStripping,attack,3.635438
sStripping,feliz,7.397086
sStripping,navidad,8.595682
sStripping,running,3.231532
sStripping,marshall,4.538832
sStripping,county,3.147514
sStripping,schools,2.122853
sStripping,sun,2.769802
sStripping,tzu,7.353176
sStripping,halloween,4.508316
sStripping,school,2.122853
sStripping,dreams,3.150200
sStripping,interpretation,5.093567
sStripping,wilson,4.591467
sStripping,instruction,3.617498
sStripping,cole,5.304180
sStripping,how,1.377163
sStripping,has,1.289474
sStripping,african,3.965569
sStripping,music,2.174698
sStripping,influence,4.398746
sStripping,bewitched,8.615889
sStripping,cast,4.155479
sStripping,mister,6.339299
sStripping,rogers,4.511313
sStripping,game,2.680173
sStripping,theory,4.058507
sStripping,view,1.199547
sStripping,my,1.131990
sStripping,internet,2.333677
sStripping,ketogenic,9.934524
sStripping,diet,4.110167
sStripping,nasa,5.557845
sStripping,interplanetary,9.044873
sStripping,missions,3.209224
sStripping,hayrides,9.888077
sStripping,pa,3.775545
sStripping,where,1.810778
sStripping,to,0.253441
sStripping,find,1.164458
sStripping,morel,8.531589
sStripping,mushrooms,5.540608
sStripping,magnesium,6.632300
sStripping,rich,3.696112
sStripping,foods,2.346393
sStripping,common,2.865608
sStripping,schizophrenia,7.006195
sStripping,drugs,3.418918
sStripping,carotid,8.818093
sStripping,cavernous,8.872807
sStripping,fistula,8.788321
sStripping,fidel,7.862602
sStripping,castro,6.456565
sStripping,yoga,4.924688
sStripping,norway,4.397515
sStripping,spruce,6.732830
sStripping,sangre,8.637059
sStripping,de,2.685163
sStripping,cristo,7.973377
sStripping,mountains,3.528464
sStripping,electronic,3.169198
sStripping,medical,2.928927
sStripping,record,2.934937
sStripping,educational,3.673971
sStripping,advantages,4.817892
sStripping,social,2.438768
sStripping,networking,3.865463
sStripping,sites,2.403129
sStripping,flowering,6.832321
sStripping,plants,3.469208
sStripping,tie,4.847954
sStripping,windsor,5.476314
sStripping,knot,5.803338
sStripping,recycling,5.076342
sStripping,lead,2.972518
sStripping,acid,4.727886
sStripping,batteries,3.894203
sStripping,altitude,6.355454
sStripping,sickness,6.103506
sStripping,care,2.342554
sStripping,jehovah,7.756346
sStripping,pink,3.850559
sStripping,slime,7.198295
sStripping,ground,3.380218
sStripping,mean,2.525753
porter2,raspberry,6.211168
porter2,pi,5.605369
porter2,uss,6.964714
porter2,carl,5.048546
porter2,vinson,8.426238
porter2,reviews,2.031698
porter2,of,0.250700
porter2,les,4.700054
porter2,miserables,5.934496
porter2,rules,2.568336
porter2,golf,3.661991
porter2,average,3.582402
porter2,charitable,5.465695
porter2,donation,3.230435
porter2,wind,3.694773
porter2,power,1.508140
porter2,bph,8.448408
porter2,treatment,3.521623
porter2,doctor,3.446705
porter2,zhivago,9.885410
porter2,land,3.035995
porter2,surveyor,6.597636
porter2,gps,4.799868
porter2,what,1.194605
porter2,is,0.535026
porter2,madagascar,5.095067
porter2,known,2.920596
porter2,for,0.343426
porter2,home,0.610788
porter2,theater,4.233491
porter2,systems,2.006772
porter2,carpal,7.819805
porter2,tunnel,5.384123
porter2,syndrome,5.247426
porter2,capital,3.646215
porter2,gains,3.597558
porter2,tax,3.145420
porter2,rate,2.142841
porter2,maryland,3.890714
porter2,department,2.867735
porter2,natural,2.400457
porter2,resources,1.735163
porter2,nicolas,5.928739
porter2,cage,4.997458
porter2,movies,2.665700
porter2,kids,2.702754
porter2,earth,3.426883
porter2,day,1.232778
porter2,activities,2.010972
porter2,solar,4.542423
porter2,water,2.632018
porter2,fountains,5.276088
porter2,was,1.397886
porter2,the,0.227034
porter2,name,1.445686
porter2,elvis,6.145000
porter2,presley,7.030791
porter2,s,0.448648
porter2,nba,5.060605
porter2,records,2.615686
porter2,electoral,6.163809
porter2,college,2.846015
porter2,results,2.187023
porter2,2008,1.988047
porter2,male,3.750345
porter2,menopause,6.372872
porter2,usda,6.271854
porter2,food,2.346305
porter2,pyramid,5.774611
porter2,making,1.297818
porter2,chicken,4.409944
porter2,soup,4.833177
porter2,from,0.696166
porter2,scratch,4.825684
porter2,black,2.507942
porter2,and,0.267560
porter2,gold,3.230292
porter2,traverse,6.172237
porter2,city,2.047777
porter2,i,0.867824
porter2,will,1.088639
porter2,survive,3.971994
porter2,lyrics,4.569338
porter2,hawaiian,5.916203
porter2,volcano,6.122460
porter2,observatories,6.425911
porter2,beef,5.177897
porter2,stroganoff,9.255256
porter2,recipe,3.672116
porter2,world,1.534904
porter2,biggest,4.074904
porter2,dog,3.199626
porter2,are,0.706221
porter2,seven,3.753048
porter2,deadly,3.327081
porter2,sins,4.751758
porter2,hurricane,5.156287
porter2,irene,6.283020
porter2,flooding,4.718638
porter2,in,0.264867
porter2,manville,9.164504
porter2,nj,4.528919
porter2,hair,3.385318
porter2,dye,5.681524
porter2,dark,3.182936
porter2,chocolate,4.169972
porter2,health,2.162164
porter2,benefits,2.736577
porter2,ham,5.642757
porter2,radio,3.188452
porter2,symptoms,4.719247
porter2,mad,3.198884
porter2,cow,5.150070
porter2,disease,3.777779
porter2,humans,2.682387
porter2,lump,6.210165
porter2,throat,5.346613
porter2,george,3.650425
porter2,bush,4.488908
porter2,sr,4.819765
porter2,bio,4.147272
porter2,frank,4.169806
porter2,lloyd,5.554822
porter2,wright,5.106530
porter2,biography,4.479092
porter2,presidential,5.036836
porter2,middle,3.233091
porter2,names,1.445686
porter2,a,0.251930
porter2,wiki,4.224289
porter2,cannellini,10.024773
porter2,beans,4.780964
porter2,afghanistan,4.600021
porter2,flag,4.060510
porter2,old,2.316162
porter2,town,3.167376
porter2,scottsdale,6.198835
porter2,roosevelt,6.198797
porter2,island,2.921895
porter2,civil,3.559036
porter2,war,3.101744
porter2,battles,3.766121
porter2,south,2.496069
porter2,carolina,3.589290
porter2,rain,3.825028
porter2,man,2.620637
porter2,eggs,4.351886
porter2,shelf,5.193306
porter2,life,1.811904
porter2,occupational,4.412181
porter2,therapist,5.555844
porter2,ford,4.482788
porter2,edge,3.646577
porter2,problems,2.493134
porter2,identifying,3.589020
porter2,spider,4.909889
porter2,bites,4.178999
porter2,history,2.233722
porter2,orcas,7.345406
porter2,tooth,5.735368
porter2,abscess,8.102758
porter2,barrett,6.228434
porter2,esophagus,7.815812
porter2,teddy,5.819983
porter2,bears,3.593305
porter2,patron,5.300028
porter2,saint,3.844405
porter2,mental,4.005216
porter2,illness,4.076904
porter2,holes,4.217186
porter2,by,0.390543
porter2,louis,4.172093
porter2,sachar,10.149907
porter2,hip,4.069846
porter2,roof,4.540130
porter2,carpenter,5.921281
porter2,bee,4.816975
porter2,american,2.497946
porter2,revolutionary,5.446983
porter2,folk,3.774197
porter2,remedies,4.785556
porter2,sore,5.485305
porter2,balding,6.197730
porter2,cure,4.628129
porter2,evidence,3.394963
porter2,evolution,4.583505
porter2,tribe,5.498082
porter2,formerly,3.560890
porter2,living,1.741592
porter2,alabama,3.985712
porter2,f5,Q:tornado
porter2,heart,2.253470
porter2,attack,3.530409
